"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.93497947510949","-3.08910979344633","4.07393038630515","7.47549381985924","-1.01921152192513","9.14274114007718","4.76622079417474","0.616713218243817","-3.15053479556273","8.95772483812387","4.21369628776971","1.4908946307052","12.4624890218238","14.2757064472561","-5.13205559312389","","","","","","","",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.715672373963","11.2427294014823","10.9002679905063","7.17126073468187","22.3820157780035","2.17910328500052","-2.10708255443797","9.43779477259656","10.5611392868639","8.3047608561584","4.7175311842531","0.243080560140356","5.5288563921136","5.26161699061691",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.72373541607561","-7.32159407173867","-5.30303028572969","49.4023904100798","0.300902726926068","169.905533034691","249.08700322891","1273.9912143769","2127.60986320439","1895.32408866612","5399.50685203614","94.3195709836863","35.3168252033454","556.939256858936","418.23295387368","106.322492424523","196.576793103168","84.8866230379751","39.7927671283854","26.8164318956669","13.041077495398","12.6164771813004","19.6815623483743","-7.41879877861696","22.3939121412599","24.16714105513","7.07021867455535","2.50473045055281","-1.36971289017515","-4.01764771604705","27.2182332923019",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.17736049732481","-0.0176942873755763","-0.0167472910031563","-0.0283540470374675","0.351197543317625","-2.37800111637164","2.86239856279735E-05","1.3539876562163E-06","-1.86766555998474E-06","-0.468707383931516","38.5683421097228","249.683437476235","114.835647630375","38.4164948240386","5.57330745505421","41.2755945091297","12.0887058933047","8.43236782174846","1.53333079063749","3.98128804504077","3.3288510823045","2.41058971943464","5.37972441357503","2.35708417556508","2.62101764113494","2.69604924907408","3.57619480955248","3.85766181958964","2.42263422495388","4.48998143415646","2.31020106673476","1.03996061572434","0.218876859272683","1.42233738463318","0.293880026964601","-0.253731863604173",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.84587099216796","8.51807771267008","11.8494338564742","15.94520129743","16.7817954081357","16.4898572117253","23.3830925590869","20.631041405079","16.9316890729091","13.3548138463662","12.3511732158075","13.5823498290083","11.8842352505511","10.8647343709055","8.59546376147422","10.8788152564796","5.94419881012041","5.93612498877991","6.89620714766012","7.32624365429177","6.93514904139276","6.71077116371748","4.53723174638985","3.87985279924578","4.93312352666109","0.797176302646591","2.22816016825726","1.49955688927319","2.73197763564343","29.2262783030586","2.76941191051621","3.40106458146587","2.87920234926831","3.35034091768884","3.10029281587185","3.19940792411617","3.86991695573633","1.98010250710132","0.00010923000361629","1.60039701355861","2.49972900088144","1.09996692248269","-0.000194384952720839","","","",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","1.30379017462108","2.60224085694838","6.88471890461126","2.4960807617277","11.5552808425358","26.9226785018749","5.59914413199591","7.52452758433751","9.72401199955937","7.44107163495314","15.0505675984276","20.0283482593105","11.582296262674","6.42062441830859","6.88749696134816","6.59117809192747","4.4784201966029","4.88397439560625","9.36808989062381","5.03381212890426","8.57777433933803","14.1214041677337","7.61051704037217","5.11898581538506","4.54566553079252","7.89003045141593","6.68404131896827","5.77304391647395","3.4597244990332","-0.299401034925182","5.81165476807901","10.1477408095004","0.780561216470318","3.77083954516191","5.11161321735516","10.9910767238727","11.9664316104799","9.37678671296783","6.66943396846374","14.8088444496881","-4.36578079392847","11.8279449489571","14.6723830069339","4.19385128628613","1.73986605438516","0.311240950980945","-3.63898278650117","0.19077333748254",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","11.7743313726961","5.25575609812847","-3.66111151479231","7.05102054499187","9.5159760501772","7.05448398662485","1.31286873100048","-3.61801722409237","-6.09746719206959","0.740532899812337","-1.69848531224127","3.68558479725066","2.38104574812836","1.75127659589569","3.33590051280299","0.810848725862613","1.80682610941703","1.27803630461926","-0.262474917208706","3.90747974672827","5.77304391647395","-0.952300716272092","-4.25444531626148","8.4433774494977","11.4595358056522","-2.34930766930144","3.77083954516191","4.07240679400576","8.50142205400655","16.5260168810779","11.9624279748609","12.533960670472","18.5333530880509","-15.1829798846931","12.4901759403053","13.8153754577457","1.62594684751221","-1.5364420370212","-0.0136029844687471","-14.4962321333383","-5.44303901089837",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975252928","28.871841651733","25.5911543481732","28.7746173195633","21.2329349235212","25.6034624263967","29.0182629356081","10.2753105574405","7.79583003660558","6.46787463937974","31.2710638825753","64.2447859181755","65.5352873661713","30.6304413715772","197.697364540376","438.322779724218","159.427177705708","161.372172005774","147.377044038694","90.8408016189506","106.364099000329","207.617681377163","382.34943487912","606.73594119409","625.802140256708","74.461493403417","127.086376418998","388.491338916035","3057.62883602967","2076.79347310303","132.953228163938","11.920760221355","-1.46665994200747","2.84933971509302","3.16512339016519","-0.0523754965904146","-0.46391313116429","-1.70527962400088","-1.83655839220663","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542492033","10.3175111982406","13.7410524859152","14.9399250245835","23.1711649813124","15.3776493708921","20.915124272047","23.7034721839593","22.3148806733049","23.9487984162746","40.2829716315506","24.545356530691","40.8517904871935",
"Armenia","ARM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3861042955971","568.807329969521","1391.16646056479","4107.29678609752","161.163917562694","19.5917703037548","17.73599450746","10.6984977480797","0.053804078495574","-1.37367599737229","4.06913993974796","2.36978781252253","4.5610983976887","6.30953271659584","3.2398362525059","4.61985766605841","4.2327703822816","5.98956235944519","2.55693505380631","7.76871548180418","4.28154999831665","5.34580441586994","3.36682464044367","2.30918242954299","1.17832686948402","0.510000810793059",
"American Samoa","ASM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70122177940937","-3.36653381394014","-1.36167464717741","2.89566946149191","2.81980742778542","11.1747609734898","25.7548845470693","-15.4185022026432","-0.639031234748671","17.3495685952265","2.52058927588645","-1.55835341394877","-0.615107008785174","",
